LotArea,YearBuilt,1stFlrSF,2ndFlrSF,FullBath,BedroomAbvGr,TotRmsAbvGrd,SalePrice
11270,1985,1395,723,3,5,9,867750
19795,1982,1720,1391,3,4,8,1361493
4860,1996,557,339,3,5,9,377562
9390,1962,1947,261,3,2,6,747396
17418,1989,1992,542,2,4,7,1158238
9191,2017,1123,550,1,2,6,653548
15964,1991,547,1329,1,2,6,1008102
15284,1968,1958,637,2,4,8,1065404
9734,1968,1708,164,2,2,6,735156
10265,2007,1338,757,1,3,5,777889
4466,1972,664,620,3,2,6,376299
17526,2003,1854,1111,3,3,7,1263952
8426,2014,829,1223,3,4,6,716921
9578,1961,1644,1294,2,2,4,814331
18423,1973,712,50,1,5,8,992901
15636,1983,1006,488,2,2,4,954218
15363,2002,1415,197,1,3,5,970130
15111,1957,1300,1046,3,3,5,1070358
12322,1967,667,664,3,5,9,835809
5685,2006,1494,1246,3,4,7,605741
19668,1954,1329,1244,1,3,6,1233294
4769,1975,1495,662,3,3,7,503001
14583,1979,1486,265,1,3,6,940757
17803,2003,1286,72,2,2,6,1047025
19773,1962,926,76,3,2,4,1115031
10949,1978,1744,543,2,2,6,856872
6433,1952,1515,880,2,2,6,584269
9311,2007,1533,434,1,2,4,693333
9051,1951,1643,1088,2,5,7,827476
10420,1977,1770,356,1,3,6,759925
5184,1951,1883,935,1,5,9,556073
8555,1956,1744,17,2,3,5,626466
7385,1975,1272,675,1,2,5,597281
16309,1965,1581,574,1,2,6,1045952
10396,1972,1983,750,1,4,6,827097
17035,1989,1651,1459,2,4,6,1213590
15096,2009,1216,995,1,5,9,1091557
19920,2022,585,1464,3,3,5,1281752
12666,1981,603,1032,2,5,9,832078
13274,1964,642,1493,2,4,8,917915
6558,1962,704,631,1,3,7,506060
11849,1954,1140,1371,2,5,7,911407
6047,2001,1561,371,3,4,6,528761
19835,1990,1886,969,2,2,6,1290907
6747,2002,1832,1198,2,5,8,710349
13167,1999,1575,1153,2,2,6,963095
13998,1964,500,1316,1,5,9,905135
4189,1956,510,352,3,3,7,346191
19293,1989,1246,223,3,3,6,1184065
6734,1977,1737,953,3,3,5,654021
7005,1981,1455,367,2,3,5,537888
8658,1964,1254,1113,3,4,8,713228
5899,2019,1017,655,1,2,6,479641
11734,2014,1938,1095,2,4,6,960434
5267,1953,1531,432,1,5,9,536559
19167,1960,504,1371,2,5,7,1199608
5528,1975,1885,1286,1,2,5,629820
15394,2010,1193,1294,2,2,6,1082660
7556,1986,611,508,1,4,6,557460
7890,1972,1503,507,3,3,5,635462
12838,1989,772,616,2,4,7,831341
18356,1972,921,419,2,4,8,1117369
15080,1965,764,1095,1,5,8,960566
18502,2010,1981,73,1,4,6,1148319
9393,2017,711,573,1,2,4,628848
14627,1980,1601,145,2,3,6,975077
12792,2002,1281,45,1,5,8,825610
14555,1974,1165,1128,3,2,5,994924
14253,1993,1744,1132,1,5,9,1068464
12433,1961,868,1340,1,4,6,886819
14233,1958,1457,120,1,4,8,886210
15016,1961,846,1066,3,2,6,981503
11513,2018,524,98,1,2,5,657767
6612,2003,1475,705,1,5,9,602367
11041,2003,1943,310,2,3,7,840976
13555,1977,1877,1237,2,5,8,993089
10235,2005,916,1486,1,4,7,778046
9486,2018,1014,422,2,2,5,701871
11099,2007,714,1412,1,2,4,797939
13670,1991,1635,1135,1,5,7,1040974
19787,1987,1453,271,3,2,6,1187348
14748,2017,1413,824,1,2,6,990564
4775,2002,927,1125,2,4,6,503903
16206,1982,1232,209,2,3,7,992628
12226,2020,1198,738,2,2,5,881209
18541,2005,715,792,2,2,4,1121883
7152,2021,912,1045,1,5,9,623841
14147,2000,879,759,3,3,7,909309
5585,1992,731,158,3,4,8,436037
7943,1964,1334,740,1,2,4,622474
11555,1987,757,342,2,3,5,713720
7073,1964,1779,1423,3,3,5,732381
5021,1954,902,1477,3,5,8,572393
15653,2003,923,698,1,4,8,978744
14805,2000,1269,1166,2,3,7,1042205
17417,1959,564,396,3,4,7,1015248
7843,1961,689,535,1,3,5,544993
11989,1953,1449,140,3,2,4,816047
13692,1967,672,960,3,4,6,931735
16990,1985,1258,239,2,5,8,1079537
18737,1974,1127,291,2,3,7,1105858
10873,1985,1060,816,3,2,5,754864
9675,2016,1750,81,2,3,7,681422
4161,1958,1500,559,3,2,6,469010
8297,2010,1911,869,3,4,8,750324
14173,2002,900,170,3,5,8,907496
4995,1967,1137,976,1,2,4,465456
18605,1992,1448,579,2,3,5,1189474
17103,1984,712,525,2,2,5,983644
15534,2012,552,541,3,2,6,954692
16743,1953,1123,109,2,5,8,1014075
11629,1990,1251,1235,3,4,6,870059
15990,1994,1161,1461,2,2,5,1108744
13467,1999,638,321,2,2,6,855336
5016,1977,917,899,3,3,5,499260
11869,1991,642,713,2,3,7,835353
10439,2018,1008,83,3,4,7,704514
11892,1950,1149,955,1,4,8,846562
10863,1988,985,375,3,4,7,731026
11916,1966,1491,1076,2,3,5,897225
12529,1984,1960,1279,1,2,4,961027
4878,1995,1042,585,1,4,6,468211
13268,1991,792,1243,3,3,7,908088
8887,1988,1807,99,1,3,6,704674
16185,1998,1170,128,3,4,7,976526
18552,2011,1337,917,2,3,6,1200203
8859,1987,1537,218,3,2,6,664572
10331,1972,1133,476,1,5,8,696690
12571,1971,771,1481,3,3,5,909742
12684,1953,1548,21,3,3,6,826331
11208,1998,821,559,2,5,9,785885
9276,2008,1305,628,3,2,4,698256
6062,2022,1626,1018,2,4,6,637520
16076,2017,1382,1352,1,3,7,1120580
4064,2020,1563,338,1,2,4,430033
12006,1951,734,178,3,4,7,743629
6568,1998,1331,420,3,2,6,572064
9463,1980,1612,1006,1,5,8,741203
17440,1989,1623,48,1,3,7,1076752
6027,1997,643,766,1,2,6,459834
6695,2000,1605,29,3,4,8,548153
13687,1992,1088,84,1,4,7,849021
19422,2004,728,788,3,4,8,1210900
9258,1998,1918,328,1,5,7,767922
9618,2006,1720,609,1,2,5,738963
10736,1964,773,433,3,2,6,644626
4391,1976,1089,587,2,4,8,436354
17986,2017,1152,1272,3,4,7,1175437
16706,2013,1082,1157,2,4,6,1126926
18624,1979,1467,689,3,5,7,1192517
16666,1985,871,1388,2,5,9,1121546
9892,2016,1603,424,2,3,7,735032
7561,1998,1758,1438,2,3,5,723763
14470,2004,1810,769,3,3,7,1019805
19353,2005,1318,511,3,4,6,1224990
10184,2017,1071,1408,3,5,7,805763
7099,1993,1044,1411,2,5,7,669268
10278,1980,1960,1011,2,3,5,890544
12392,2007,626,1472,3,4,8,929920
18151,2002,1232,563,3,2,5,1110720
17067,1972,916,302,1,4,7,984805
19265,1977,1137,98,1,4,6,1134474
7104,1965,540,1329,1,3,7,550234
11215,1986,1286,556,1,5,8,803125
16790,1970,1992,41,1,5,8,1049594
6454,1966,796,990,3,2,4,544669
15837,1986,541,467,2,5,7,967332
18039,1968,1131,439,2,5,9,1078310
